IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max,incidentType,fyDeclared
15830225,4089.0,3616.0,410.0,63.0,38.0,1818545,1048.0,1.0,0.0,Hurricane,2017.0
11518240,3850.0,3569.0,241.0,40.0,23.0,3841369,2310.0,0.0,0.0,Hurricane,2017.0
9823953,2610.0,2334.0,222.0,54.0,41.0,1567573,1020.0,0.0,0.0,Hurricane,2017.0
13829982,2958.0,2539.0,322.0,97.0,57.0,2124094,1026.0,0.0,0.0,Hurricane,2017.0
14644164,3279.0,2853.0,381.0,45.0,29.0,1635182,840.0,0.0,0.0,Hurricane,2017.0
32212026,9506.0,8574.0,814.0,118.0,65.0,6256858,3378.0,1.0,1.0,Hurricane,2017.0
7757895,2026.0,1815.0,155.0,56.0,31.0,1270360,711.0,0.0,0.0,Hurricane,2017.0
10178365,3014.0,2741.0,239.0,34.0,16.0,1609369,922.0,0.0,0.0,Hurricane,2017.0
16921116,4001.0,3543.0,362.0,96.0,65.0,3257258,1596.0,0.0,0.0,Hurricane,2017.0
34832912,14839.0,13996.0,644.0,199.0,125.0,10722998,9346.0,0.0,0.0,Hurricane,2017.0
5357238,3249.0,3162.0,75.0,12.0,9.0,1080917,1154.0,0.0,0.0,Hurricane,2017.0
27603203,10774.0,10120.0,513.0,141.0,96.0,8398718,6147.0,0.0,0.0,Hurricane,2017.0
8226427,3036.0,2822.0,196.0,18.0,11.0,1044126,834.0,0.0,0.0,Hurricane,2017.0
26705531,6016.0,5215.0,612.0,189.0,139.0,3953219,1744.0,0.0,0.0,Hurricane,2017.0
19322492,11412.0,11086.0,258.0,68.0,46.0,8457031,7751.0,0.0,0.0,Hurricane,2017.0
6210141,1961.0,1794.0,144.0,23.0,12.0,2053909,1597.0,0.0,0.0,Hurricane,2017.0
16559777,4042.0,3519.0,393.0,130.0,95.0,2838002,1922.0,0.0,0.0,Hurricane,2017.0
4383013,1385.0,1299.0,66.0,20.0,14.0,999250,530.0,0.0,0.0,Hurricane,2017.0
12314343,2449.0,2067.0,285.0,97.0,55.0,2088348,821.0,0.0,0.0,Hurricane,2017.0
14335606,4142.0,3748.0,300.0,94.0,63.0,2492546,1579.0,1.0,0.0,Hurricane,2017.0
13810398,4135.0,3748.0,326.0,61.0,45.0,2342700,1357.0,0.0,0.0,Hurricane,2017.0
